model,rag_mode,config,dataset,label,tp,tn,fp,fn,precision,recall,f1,mcc,balanced_accuracy
DeepSeek,examples,raw_10call_majority,SpotifyCares,Offer further help,4,19,5,0,0.4444444444444444,1.0,0.6153846153846153,0.5931710140017395,0.8958333333333333
DeepSeek,examples,raw_10call_majority,SpotifyCares,Playlist,1,33,0,1,1.0,0.5,0.6666666666666666,0.696630546019236,0.75
DeepSeek,examples,raw_10call_majority,SpotifyCares,Premium,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Provide OS version,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Provide URL,12,15,0,1,1.0,0.9230769230769231,0.9600000000000001,0.9302605094190635,0.9615384615384616
DeepSeek,examples,raw_10call_majority,SpotifyCares,Provide device model,0,31,0,4,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Provide email address,0,35,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Provide error message,0,30,0,5,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Provide spotify version,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Provide username,0,35,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Refer to specialist team,0,27,1,0,0.0,0.0,0.0,0.0,0.48214285714285715
DeepSeek,examples,raw_10call_majority,SpotifyCares,Reinstall the app,0,34,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request DM,1,21,0,6,1.0,0.14285714285714285,0.25,0.3333333333333333,0.5714285714285714
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request OS version,3,25,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request Spotify version,4,24,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request device restart,3,24,1,0,0.75,1.0,0.8571428571428571,0.848528137423857,0.98
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request device version,4,24,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request email address,0,22,0,6,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request error message,3,25,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request exact issue description,1,27,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request login,2,25,0,1,1.0,0.6666666666666666,0.8,0.8006407690254357,0.8333333333333333
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request logout,3,25,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request reinstall the app,0,26,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Request username,0,23,0,5,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Restart device,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_10call_majority,SpotifyCares,Song/Artist,1,30,0,4,1.0,0.2,0.33333333333333337,0.420084025208403,0.6
DeepSeek,examples,raw_10call_majority,SpotifyCares,Student Subscription,1,33,0,1,1.0,0.5,0.6666666666666666,0.696630546019236,0.75
DeepSeek,examples,raw_1call,AmazonHelp,Account,0,18,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AmazonHelp,Alexa,0,18,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AmazonHelp,Apologize,6,10,1,2,0.8571428571428571,0.75,0.7999999999999999,0.6746010525388914,0.8295454545454546
DeepSeek,examples,raw_1call,AmazonHelp,Bad Support,0,17,0,3,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AmazonHelp,Delivery,3,13,0,4,1.0,0.42857142857142855,0.6,0.5724780279075999,0.7142857142857143
DeepSeek,examples,raw_1call,AmazonHelp,Echo,0,17,0,3,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AmazonHelp,Investigate Issue,6,9,2,2,0.75,0.75,0.75,0.5681818181818182,0.7840909090909092
DeepSeek,examples,raw_1call,AmazonHelp,Kindle,0,20,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AmazonHelp,Order Cancellation,1,19,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,AmazonHelp,Packaging,0,19,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AmazonHelp,Prime,2,13,0,5,1.0,0.2857142857142857,0.4444444444444445,0.45425676257949793,0.6428571428571428
DeepSeek,examples,raw_1call,AmazonHelp,Provide URL,13,6,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,AmazonHelp,Provide delivery date,0,17,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AmazonHelp,Refer to specialist team,1,15,2,1,0.3333333333333333,0.5,0.4,0.3217979514674192,0.6911764705882353
DeepSeek,examples,raw_1call,AmazonHelp,Refund,0,19,1,0,0.0,0.0,0.0,0.0,0.475
DeepSeek,examples,raw_1call,AmazonHelp,Replacement,0,20,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AmazonHelp,Request to call by phone,3,16,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,AmazonHelp,Request to not send personal details,1,18,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,AmazonHelp,Request to reach out by chat,2,17,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,AmazonHelp,Return,1,18,0,1,1.0,0.5,0.6666666666666666,0.6882472016116853,0.75
DeepSeek,examples,raw_1call,AppleSupport,Battery,5,25,0,1,1.0,0.8333333333333334,0.9090909090909091,0.8951435925492911,0.9166666666666667
DeepSeek,examples,raw_1call,AppleSupport,Investigate issue,0,11,0,16,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Mac,2,28,0,1,1.0,0.6666666666666666,0.8,0.802295557085754,0.8333333333333333
DeepSeek,examples,raw_1call,AppleSupport,Provide URL,9,11,0,7,1.0,0.5625,0.72,0.5863019699779286,0.78125
DeepSeek,examples,raw_1call,AppleSupport,Provide device model,4,25,0,2,1.0,0.6666666666666666,0.8,0.7856742013183861,0.8333333333333333
DeepSeek,examples,raw_1call,AppleSupport,Provide system version,4,21,0,6,1.0,0.4,0.5714285714285715,0.5577733510227171,0.7
DeepSeek,examples,raw_1call,AppleSupport,Recommend backing up,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Recommend updating,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Refer to specialist team,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Refund,2,29,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,AppleSupport,Request DM,0,15,0,12,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Request country,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Request device model,0,24,0,3,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Request device restart,0,26,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Request iOS version,0,19,0,8,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Restart device,0,28,0,3,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Software/App,0,21,0,10,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,TV,0,31,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,Unresponsive/Freezing Device,2,23,3,3,0.4,0.4,0.4000000000000001,0.2846153846153846,0.6423076923076922
DeepSeek,examples,raw_1call,AppleSupport,Update,6,17,0,8,1.0,0.42857142857142855,0.6,0.5398412465054624,0.7142857142857143
DeepSeek,examples,raw_1call,AppleSupport,iPad,0,31,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,AppleSupport,iPhone,6,17,4,4,0.6,0.6,0.6,0.4095238095238095,0.7047619047619047
DeepSeek,examples,raw_1call,SpotifyCares,Account,1,28,1,5,0.5,0.16666666666666666,0.25,0.21462546253307746,0.5660919540229885
DeepSeek,examples,raw_1call,SpotifyCares,Advertisement,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,App,0,26,0,9,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Billing/Payment,0,28,0,7,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Family Subscription,0,34,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Hulu,1,34,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,SpotifyCares,Login,0,31,0,4,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Logout,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Offer further help,2,19,5,2,0.2857142857142857,0.5,0.36363636363636365,0.23570226039551587,0.6458333333333333
DeepSeek,examples,raw_1call,SpotifyCares,Playlist,1,33,0,1,1.0,0.5,0.6666666666666666,0.696630546019236,0.75
DeepSeek,examples,raw_1call,SpotifyCares,Premium,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Provide OS version,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Provide URL,10,15,0,3,1.0,0.7692307692307693,0.8695652173913044,0.8006407690254357,0.8846153846153846
DeepSeek,examples,raw_1call,SpotifyCares,Provide device model,0,31,0,4,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Provide email address,0,35,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Provide error message,0,30,0,5,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Provide spotify version,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Provide username,0,35,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Refer to specialist team,0,27,1,0,0.0,0.0,0.0,0.0,0.48214285714285715
DeepSeek,examples,raw_1call,SpotifyCares,Reinstall the app,0,34,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Request DM,2,21,0,5,1.0,0.2857142857142857,0.4444444444444445,0.48038446141526137,0.6428571428571428
DeepSeek,examples,raw_1call,SpotifyCares,Request OS version,3,25,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,SpotifyCares,Request Spotify version,4,24,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,SpotifyCares,Request device restart,2,25,0,1,1.0,0.6666666666666666,0.8,0.8006407690254357,0.8333333333333333
DeepSeek,examples,raw_1call,SpotifyCares,Request device version,4,24,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,SpotifyCares,Request email address,0,22,0,6,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Request error message,3,25,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,raw_1call,SpotifyCares,Request exact issue description,0,27,0,1,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Request login,1,25,0,2,1.0,0.3333333333333333,0.5,0.5555555555555556,0.6666666666666666
DeepSeek,examples,raw_1call,SpotifyCares,Request logout,2,25,0,1,1.0,0.6666666666666666,0.8,0.8006407690254357,0.8333333333333333
DeepSeek,examples,raw_1call,SpotifyCares,Request reinstall the app,0,26,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Request username,0,23,0,5,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Restart device,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,raw_1call,SpotifyCares,Song/Artist,1,30,0,4,1.0,0.2,0.33333333333333337,0.420084025208403,0.6
DeepSeek,examples,raw_1call,SpotifyCares,Student Subscription,0,33,0,2,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Account,2,18,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Alexa,2,18,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Apologize,8,10,1,0,0.8888888888888888,1.0,0.9411764705882353,0.8989331499509895,0.9545454545454546
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Bad Support,2,16,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6078431372549019,0.803921568627451
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Delivery,5,13,0,2,1.0,0.7142857142857143,0.8333333333333333,0.7867957924694432,0.8571428571428572
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Echo,3,17,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Investigate Issue,7,9,2,1,0.7777777777777778,0.875,0.823529411764706,0.6854365268376295,0.8465909090909092
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Kindle,0,20,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Order Cancellation,1,19,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Packaging,1,19,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Prime,7,13,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Provide URL,13,6,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Provide delivery date,1,17,0,1,1.0,0.5,0.6666666666666666,0.6871842709362768,0.75
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Refer to specialist team,2,17,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Refund,0,20,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Replacement,0,20,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Request to call by phone,3,16,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Request to not send personal details,1,18,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Request to reach out by chat,2,17,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AmazonHelp,Return,2,18,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Battery,5,24,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7933333333333333,0.8966666666666667
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Investigate issue,11,7,4,5,0.7333333333333333,0.6875,0.7096774193548386,0.32024493467004,0.6619318181818181
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Mac,3,27,1,0,0.75,1.0,0.8571428571428571,0.8504200642707612,0.9821428571428572
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Provide URL,15,11,0,1,1.0,0.9375,0.967741935483871,0.9270248108869579,0.96875
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Provide device model,6,24,1,0,0.8571428571428571,1.0,0.923076923076923,0.9071147352221454,0.98
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Provide system version,10,21,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Recommend backing up,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Recommend updating,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Refer to specialist team,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Refund,2,29,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Request DM,12,15,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Request country,0,27,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Request device model,3,24,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Request device restart,1,26,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Request iOS version,8,19,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Restart device,3,27,1,0,0.75,1.0,0.8571428571428571,0.8504200642707612,0.9821428571428572
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Software/App,8,18,3,2,0.7272727272727273,0.8,0.761904761904762,0.642034105174945,0.8285714285714285
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,TV,0,31,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Unresponsive/Freezing Device,5,20,6,0,0.45454545454545453,1.0,0.625,0.5913123959890826,0.8846153846153846
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,Update,13,16,1,1,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8697478991596639,0.9348739495798319
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,iPad,0,31,0,0,0.0,0.0,0.0,0.0,0.5
DeepSeek,examples,validated_paths10_thr0.5,AppleSupport,iPhone,9,14,7,1,0.5625,0.9,0.6923076923076923,0.530068129792975,0.7833333333333333
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Account,5,26,3,1,0.625,0.8333333333333334,0.7142857142857143,0.6550918874579329,0.8649425287356323
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Advertisement,1,32,1,1,0.5,0.5,0.5,0.4696969696969697,0.7348484848484849
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,App,6,22,4,3,0.6,0.6666666666666666,0.631578947368421,0.4961389383568338,0.7564102564102564
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Billing/Payment,7,27,1,0,0.875,1.0,0.9333333333333333,0.9185586535436918,0.9821428571428572
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Family Subscription,1,34,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Hulu,1,34,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Login,2,29,2,2,0.5,0.5,0.5,0.43548387096774194,0.717741935483871
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Logout,1,29,4,1,0.2,0.5,0.28571428571428575,0.251259453814803,0.6893939393939394
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Offer further help,4,19,5,0,0.4444444444444444,1.0,0.6153846153846153,0.5931710140017395,0.8958333333333333
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Playlist,2,33,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Premium,1,31,2,1,0.3333333333333333,0.5,0.4,0.36432620803146437,0.7196969696969697
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Provide OS version,2,33,0,0,1.0,1.0,1.0,1.0,1.0
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Provide URL,12,15,0,1,1.0,0.9230769230769231,0.9600000000000001,0.9302605094190635,0.9615384615384616
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Provide device model,3,28,3,1,0.5,0.75,0.6,0.5514416337357292,0.8266129032258065
DeepSeek,examples,validated_paths10_thr0.5,SpotifyCares,Provide email address,0,35,0,0,0.0,0.0,0.0,0.0,0.5
